team,team_logo_spk_alts_white,team_logo_spk_classic_white,team_logo_spk_classic_dark
ARI,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg/ARI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/ARI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/ARI.png
ATL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//ATL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/ATL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/ATL.png
BAL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//BAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/BAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/BAL.png
BUF,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//BUF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/BUF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/BUF.png
CAR,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//CAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CAR.png
CHI,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//CHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CHI.png
CIN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//CIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CIN.png
CLE,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//CLE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CLE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CLE.png
DAL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//DAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DAL.png
DEN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//DEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DEN.png
DET,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//DET.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DET.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DET.png
GB,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//GB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/GB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/GB.png
HOU,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//HOU.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/HOU.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/HOU.png
IND,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//IND.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/IND.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/IND.png
JAX,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//JAX.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/JAX.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/JAX.png
KC,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//KC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/KC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/KC.png
LAC,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//LAC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LAC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LAC.png
LAR,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//LAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LAR.png
LV,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//LV.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LV.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LV.png
MIA,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/alts-white-bg//MIA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/MIA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/MIA.png
